P1,P2,D1,D2,15m,12m,9m,6m,3m,DTR
38,40,40,45,0,0,1,18,45,68
38,40,45,50,0,0,2,23,48,77
38,40,50,55,0,0,5,26,52,87
38,40,55,60,0,0,8,29,57,98
38,40,60,65,0,0,12,31,61,108
38,40,65,70,0,0,15,33,66,118
40,42,0,5,0,0,0,0,0,3
40,42,5,10,0,0,0,0,2,6
40,42,10,15,0,0,0,0,5,9
40,42,15,20,0,0,0,1,12,17
40,42,20,25,0,0,0,3,22,29
40,42,25,30,0,0,0,6,31,41
40,42,30,35,0,0,0,11,37,52
40,42,35,40,0,0,1,16,43,64
40,42,40,45,0,0,3,21,47,75
40,42,45,50,0,0,6,24,50,84
40,42,50,55,0,0,8,29,55,96
40,42,55,60,0,0,13,30,60,107
42,45,0,5,0,0,0,0,0,3
42,45,5,10,0,0,0,0,3,7
42,45,10,15,0,0,0,1,6,11
42,45,15,20,0,0,0,3,15,22
42,45,20,25,0,0,0,5,25,34
42,45,25,30,0,0,0,9,35,48
42,45,30,35,0,0,1,15,40,60
42,45,35,40,0,0,3,20,46,73
42,45,40,45,0,0,6,24,50,84
42,45,45,50,0,0,10,28,54,96
42,45,50,55,0,0,14,30,60,108
42,45,55,60,0,1,18,32,65,121
45,48,0,5,0,0,0,0,0,4
45,48,5,10,0,0,0,0,4,8
45,48,10,15,0,0,0,2,7,13
45,48,15,20,0,0,0,4,19,27
45,48,20,25,0,0,0,7,30,41
45,48,25,30,0,0,1,12,37,55
45,48,30,35,0,0,3,18,44,70
45,48,35,40,0,0,6,23,48,82
45,48,40,45,0,0,10,27,53,95
45,48,45,50,0,1,14,30,59,109
45,48,50,55,0,2,18,32,64,121
45,48,55,60,0,5,19,36,70,135
48,50,0,5,0,0,0,0,1,5
48,50,5,10,0,0,0,0,4,8
48,50,10,15,0,0,0,2,9,15
48,50,15,20,0,0,0,4,22,30
48,50,20,25,0,0,1,8,32,46
48,50,25,30,0,0,2,14,39,60
48,50,30,35,0,0,5,20,45,75
48,50,35,40,0,0,9,24,50,88
48,50,40,45,0,1,12,29,55,102
48,50,45,50,0,2,17,30,62,116
48,50,50,55,0,5,19,34,67,130
50,52,0,5,0,0,0,0,1,5
50,52,5,10,0,0,0,1,4,10
50,52,10,15,0,0,0,3,10,18
50,52,15,20,0,0,1,5,23,34
50,52,20,25,0,0,2,9,34,50
50,52,25,30,0,0,4,15,41,65
50,52,30,35,0,0,6,22,47,80
50,52,35,40,0,1,10,26,52,94
50,52,40,45,0,2,15,29,59,110
50,52,45,50,0,5,17,32,64,123
50,52,50,55,0,8,19,36,71,139
52,55,0,5,0,0,0,0,1,5
52,55,5,10,0,0,0,1,5,11
52,55,10,15,0,0,0,4,13,22
52,55,15,20,0,0,1,6,27,39
52,55,20,25,0,0,3,11,37,56
52,55,25,30,0,0,6,18,44,73
52,55,30,35,0,1,9,23,50,88
52,55,35,40,0,3,12,29,55,104
52,55,40,45,0,5,17,31,62,120
52,55,45,50,0,8,19,35,69,136
52,55,50,55,0,12,22,37,76,152
55,58,0,5,0,0,0,0,2,7
55,58,5,10,0,0,0,2,5,12
55,58,10,15,0,0,1,4,16,26
55,58,15,20,0,0,2,7,30,44
55,58,20,25,0,0,4,13,40,62
55,58,25,30,0,1,7,21,46,81
55,58,30,35,0,2,11,26,52,97
55,58,35,40,0,5,15,30,59,115
55,58,40,45,0,8,18,33,66,131
55,58,45,50,1,11,21,37,74,150
55,58,50,55,3,14,23,39,83,168
58,60,0,5,0,0,0,0,2,7
58,60,5,10,0,0,0,2,6,13
58,60,10,15,0,0,1,4,19,29
58,60,15,20,0,0,3,8,32,48
58,60,20,25,0,0,5,15,41,66
58,60,25,30,0,1,8,22,48,85
58,60,30,35,0,4,11,28,54,103
58,60,35,40,0,6,17,30,62,121
58,60,40,45,1,9,19,35,69,139
58,60,45,50,2,13,22,37,78,158
58,60,50,55,5,15,24,40,88,178
